NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
19,301,2,20,3,4,4,2,4,5,3,5,4,5,5,3,3,3,3,4,3,3,3,3,5,3,5,3,4,5,4,5,5,4,5,4,5,5,5,5,15,15,10,6,9,20,16,20,16,0,4,4,4
20,275,1,21,3,2,3,3,3,4,4,3,4,3,2,2,4,3,4,2,2,1,2,2,4,3,3,2,4,4,3,3,3,2,3,2,3,3,3,3,14,12,6,4,5,14,12,12,10,2,2,2,2
21,126,1,24,4,2,2,4,2,4,5,4,2,4,2,2,4,4,3,3,2,1,1,2,5,4,5,4,4,5,3,4,5,4,4,3,4,5,4,5,10,8,7,4,4,20,16,18,14,2,3,4,4
22,310,2,26,4,2,1,4,2,5,4,5,2,3,2,1,4,4,4,3,1,1,1,2,5,4,5,4,5,4,5,4,4,5,3,5,4,5,3,4,10,7,5,3,4,18,18,16,17,3,2,0,-1
23,258,2,28,4,2,2,4,3,3,4,4,2,3,2,1,3,2,1,3,2,1,2,2,4,3,5,4,3,4,4,5,4,3,5,4,3,4,4,5,13,9,6,9,5,16,12,20,16,4,-3,4,4
24,158,1,21,3,2,3,4,2,4,4,4,2,5,2,2,4,4,4,3,2,1,1,1,4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,5,9,10,7,3,3,18,16,18,16,-1,4,2,2
25,201,1,42,3,2,3,4,2,4,4,4,2,4,2,1,4,4,4,3,2,1,1,1,3,4,3,4,5,3,5,3,4,2,4,2,4,2,4,3,10,10,6,3,3,12,15,13,15,0,3,-3,-2
26,196,2,34,5,2,2,2,1,4,3,3,2,2,3,2,2,3,3,3,3,2,2,2,4,3,4,3,4,3,3,4,5,3,4,3,4,3,4,3,12,13,8,7,6,15,14,15,13,-1,1,1,2
27,167,2,24,5,3,2,3,5,5,2,5,5,4,3,2,2,2,3,3,3,2,1,2,2,1,4,2,3,3,3,3,2,2,2,3,1,2,3,1,16,12,8,8,5,9,7,10,11,4,0,2,-1
28,302,2,24,4,2,2,2,2,5,4,4,2,3,2,3,4,4,3,3,2,1,2,1,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,10,11,8,4,4,20,16,20,16,-1,4,4,4
29,326,2,34,4,3,2,5,4,4,5,4,3,4,2,2,2,2,3,4,2,2,2,2,4,5,4,5,4,5,4,5,5,4,5,4,4,5,4,5,13,8,8,8,6,19,17,19,17,5,0,2,2
30,254,1,45,4,3,1,4,2,5,5,4,1,3,5,1,4,3,3,3,1,2,2,1,5,3,4,3,2,5,2,5,3,5,4,3,2,5,3,4,12,8,5,5,5,18,12,17,11,4,0,6,6
31,250,1,23,4,2,2,4,2,5,4,4,2,3,1,1,3,3,3,4,1,1,1,1,4,3,4,3,3,4,3,4,2,4,3,4,2,4,2,5,9,9,6,6,3,14,12,16,12,0,0,2,4
32,112,1,22,3,3,2,4,4,3,4,4,4,3,3,2,3,3,2,3,2,2,2,3,5,3,4,3,4,5,4,5,4,4,3,3,3,4,3,3,17,10,7,7,7,18,14,15,13,7,0,4,2
34,188,2,22,3,2,1,4,1,5,5,5,1,4,1,1,3,4,3,3,1,1,1,1,4,3,3,3,4,5,3,4,3,4,3,4,4,3,5,3,6,6,5,5,3,15,15,13,15,0,0,0,-2
35,187,2,22,3,2,2,4,2,4,4,4,2,4,2,2,3,3,3,3,2,1,1,1,5,1,4,2,5,5,4,4,5,3,4,3,3,5,3,4,10,9,7,6,3,20,12,16,12,1,1,8,4
36,178,1,22,4,3,3,2,3,4,3,3,4,3,4,2,3,3,3,3,2,2,2,2,4,3,4,4,3,4,3,4,4,5,4,4,3,4,4,3,16,15,7,6,6,16,14,15,15,1,1,2,0
37,237,1,23,4,2,2,4,2,4,4,4,2,4,3,2,4,4,4,3,2,1,1,2,5,4,5,4,5,5,5,5,5,4,5,4,5,5,5,5,11,9,7,3,4,20,18,20,18,2,4,2,2
38,271,1,23,3,2,2,4,2,4,4,4,5,4,4,2,3,3,4,3,2,2,1,2,3,4,3,3,4,3,4,4,3,3,3,3,3,4,2,3,15,9,7,5,5,13,14,13,12,6,2,-1,1
39,294,2,NA,1,2,3,3,3,1,4,4,2,4,5,3,3,3,3,3,3,1,1,1,2,5,2,4,4,4,4,3,2,4,2,3,3,5,2,5,17,11,9,6,3,13,16,12,13,6,3,-3,-1
40,243,2,24,4,2,3,2,3,5,5,5,3,4,2,2,4,4,4,4,2,1,1,1,1,1,3,3,4,2,4,2,4,2,3,1,4,4,3,3,11,10,8,3,3,11,11,11,11,1,5,0,0
41,181,1,25,4,2,3,4,4,4,3,4,4,4,3,3,3,3,3,3,2,2,2,1,3,4,3,2,3,4,4,3,3,4,3,3,3,4,4,4,15,11,8,6,5,14,14,13,13,4,2,0,0
42,146,1,23,3,3,4,4,4,3,3,3,3,3,2,2,2,2,3,2,1,2,2,2,2,4,1,3,3,3,3,2,3,3,3,3,3,3,3,4,15,14,5,8,6,11,13,10,12,1,-3,-2,-2
43,159,1,23,3,3,2,4,2,3,4,5,3,4,3,3,3,3,4,3,2,2,1,2,5,4,4,3,4,5,3,5,5,4,4,3,4,5,3,5,13,9,8,5,5,20,16,18,12,4,3,4,6
44,282,1,20,2,3,3,2,2,4,4,3,2,3,1,3,3,3,3,3,2,2,2,2,5,4,5,4,4,5,4,5,5,2,5,2,3,5,3,5,10,14,8,6,6,20,13,20,13,-4,2,7,7
45,121,2,NA,4,2,1,3,4,1,2,2,3,2,2,2,2,2,3,3,2,2,2,1,5,4,2,3,5,3,2,3,5,4,3,2,5,4,2,3,18,13,7,8,5,17,18,11,9,5,-1,-1,2
46,256,1,NA,3,2,2,5,1,5,5,5,1,5,1,1,4,4,4,4,1,1,1,1,5,4,5,4,4,5,4,5,4,3,4,3,5,5,4,4,5,6,6,3,3,19,16,18,15,-1,3,3,3
47,316,1,NA,3,1,3,3,4,5,4,5,2,3,1,2,3,3,3,3,2,1,1,1,4,3,3,2,3,4,3,4,3,3,3,3,4,3,4,3,11,9,7,6,3,14,13,13,12,2,1,1,1
48,140,2,NA,3,3,3,3,4,3,2,2,2,3,3,3,2,2,2,2,2,2,2,2,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,15,16,7,9,6,16,14,15,15,-1,-2,2,0
49,482,2,21,3,3,4,3,3,4,4,4,3,4,4,3,3,3,3,4,3,2,3,3,4,5,4,5,4,4,4,5,4,4,5,4,4,5,5,4,14,13,10,6,8,17,17,18,18,1,4,0,0
50,200,2,21,3,5,5,1,1,5,5,5,5,1,5,4,1,1,1,1,1,3,3,3,1,5,1,5,1,5,1,5,1,5,1,5,1,5,1,1,17,16,6,12,9,12,12,8,12,1,-6,0,-4
51,214,2,NA,4,3,4,2,3,3,3,3,3,4,2,3,2,2,2,3,2,2,2,2,3,3,3,3,5,4,4,3,5,3,5,3,5,3,4,3,13,16,8,9,6,15,16,14,14,-3,-1,-1,0
52,527,2,NA,2,3,4,3,2,4,4,5,2,2,4,1,3,3,3,3,2,2,1,1,3,4,3,3,4,4,3,4,2,4,1,3,5,3,4,3,14,12,6,6,4,12,17,11,13,2,0,-5,-2
53,178,2,NA,2,2,2,4,3,5,4,4,2,4,2,2,3,4,4,3,2,1,1,1,5,4,4,4,5,5,4,4,5,4,3,3,4,5,3,4,10,9,7,4,3,20,17,15,14,1,3,3,1
54,280,1,23,3,3,3,4,3,4,4,4,3,4,3,2,3,3,3,2,2,1,1,1,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,13,11,6,6,3,20,16,20,16,2,0,4,4
55,325,1,44,4,1,1,4,2,5,5,4,2,3,1,1,4,3,4,2,2,1,1,1,3,4,3,4,3,4,3,4,3,4,3,4,3,4,3,4,9,6,5,4,3,14,14,14,14,3,1,0,0
56,206,1,27,3,3,3,3,4,3,3,4,4,4,4,3,3,3,4,3,2,2,2,1,4,5,4,3,4,4,3,4,4,4,4,4,4,5,4,3,17,13,8,5,5,17,17,15,14,4,3,0,1
57,163,2,42,4,2,4,3,3,3,3,4,2,4,2,3,3,3,2,4,3,2,2,2,2,4,4,3,4,3,4,3,4,3,3,3,4,4,2,3,12,13,10,7,6,13,15,13,12,-1,3,-2,1
58,166,2,NA,4,5,3,3,4,3,3,2,4,3,4,4,3,2,3,3,2,2,2,2,3,4,3,4,3,4,3,4,3,4,3,4,4,5,4,5,18,17,9,7,6,15,15,15,15,1,2,0,0
59,158,2,21,3,5,4,4,4,3,3,4,4,4,4,3,4,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,17,15,9,4,9,20,20,20,19,2,5,0,1
60,156,2,22,3,2,3,4,2,4,5,4,3,3,2,2,3,3,4,2,2,1,1,2,4,2,2,3,3,4,3,4,2,4,2,3,5,2,4,2,12,9,6,5,4,12,14,10,13,3,1,-2,-3
61,643,2,23,3,3,2,4,3,4,4,4,2,3,3,1,4,4,4,3,2,1,1,1,3,4,3,4,4,5,3,4,5,4,4,3,4,5,3,4,13,10,6,3,3,18,16,15,13,3,3,2,2
62,223,1,21,2,2,2,3,3,4,3,4,4,3,2,2,3,3,3,3,2,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,14,11,7,6,3,12,12,12,12,3,1,0,0
63,286,2,33,3,1,2,4,1,5,4,5,2,4,1,1,3,4,4,4,2,1,1,1,3,4,2,4,4,3,4,3,3,4,3,4,3,3,4,3,7,7,7,4,3,12,15,11,16,0,3,-3,-5
64,153,1,20,2,2,2,2,2,4,4,4,4,4,2,2,3,3,3,3,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,12,11,7,6,3,16,16,16,16,1,1,0,0
65,203,1,23,4,1,1,4,2,5,4,4,1,4,1,1,3,3,3,4,2,1,1,1,5,4,4,4,5,5,4,4,5,4,4,4,4,5,4,4,7,7,7,6,3,20,17,16,16,0,1,3,0
66,244,1,31,5,2,2,4,3,4,4,5,2,4,3,3,3,3,1,3,3,3,3,1,4,2,4,2,3,5,3,4,2,4,2,3,1,2,2,2,12,8,9,8,7,13,10,12,10,4,1,3,2
67,644,1,26,3,2,2,2,2,4,4,4,4,5,2,2,3,3,4,4,2,2,2,2,3,5,3,4,5,3,4,3,3,5,3,4,4,4,4,4,11,11,8,5,6,13,19,13,16,0,3,-6,-3
68,149,1,23,4,2,2,3,2,2,2,2,3,4,3,2,2,2,2,2,3,3,1,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,14,14,7,9,6,8,8,9,9,0,-2,0,0
69,746,1,21,3,3,4,2,3,2,3,3,2,3,2,3,2,3,3,3,2,2,2,2,2,2,1,1,3,2,3,3,2,2,1,1,1,1,1,1,14,16,8,7,6,7,8,6,6,-2,1,-1,0
70,482,1,32,4,5,3,5,4,5,4,5,4,5,3,3,3,4,3,4,4,3,3,2,5,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,13,11,11,5,8,19,17,18,17,2,6,2,1
71,376,2,20,2,2,2,4,3,4,4,4,2,4,2,2,3,3,3,3,2,1,2,2,4,3,5,3,4,4,4,4,4,3,4,3,4,4,4,4,11,9,7,6,5,16,14,17,14,2,1,2,3
72,242,2,20,3,2,3,4,3,3,4,4,3,3,3,2,3,3,3,3,2,2,2,2,3,4,4,5,4,4,4,4,5,4,4,3,5,4,4,3,15,10,7,6,6,16,17,15,16,5,1,-1,-1
73,552,1,22,3,2,2,2,1,4,5,4,4,3,2,3,3,3,3,4,2,1,2,1,4,5,4,4,4,5,4,4,4,5,3,5,4,4,4,4,12,10,9,6,4,17,18,15,17,2,3,-1,-2
74,131,1,21,2,3,4,3,4,2,2,4,3,3,2,2,3,4,3,2,2,3,2,1,4,5,2,3,5,4,3,4,5,4,3,2,4,3,3,3,16,15,6,5,6,16,18,12,11,1,1,-2,1
75,264,1,21,3,4,3,5,4,5,5,4,5,4,5,3,2,4,3,3,4,2,3,3,5,5,4,5,4,5,5,5,5,4,4,5,5,5,4,5,17,10,10,6,8,20,18,18,19,7,4,2,-1
76,235,1,30,5,2,3,4,3,4,3,4,2,4,2,3,3,3,3,4,2,2,1,2,5,4,4,3,3,4,3,4,3,4,2,3,4,4,4,4,11,11,9,6,5,16,15,14,13,0,3,1,1
77,173,2,NA,3,3,2,4,2,4,5,4,2,5,1,1,3,4,3,4,1,1,1,1,2,5,3,5,5,4,5,4,2,5,2,5,5,3,5,3,8,9,6,5,3,11,20,12,20,-1,1,-9,-8
78,163,2,18,1,4,4,4,4,2,2,2,3,2,2,4,2,2,2,4,3,2,2,3,4,2,2,3,4,3,4,3,4,2,2,3,4,2,3,2,17,17,11,9,7,13,12,9,13,0,2,1,-4
79,373,2,21,3,2,2,3,2,3,3,4,2,3,2,2,3,3,2,3,2,2,2,1,5,4,4,3,5,4,3,3,4,4,3,3,5,4,4,3,12,11,7,7,5,17,18,13,13,1,0,-1,0
80,149,2,24,4,2,2,1,3,4,4,4,5,3,2,2,4,4,3,4,3,1,2,1,4,5,3,4,4,5,4,5,3,4,2,3,2,3,2,4,15,12,9,4,4,15,15,14,13,3,5,0,1
81,476,1,23,4,2,3,4,2,4,4,4,2,3,2,3,4,3,3,3,2,2,2,2,4,4,4,3,3,4,3,4,4,3,4,3,4,4,4,4,11,10,8,5,6,16,14,16,13,1,3,2,3
82,376,1,23,3,3,2,3,2,3,3,4,2,4,2,2,3,2,3,2,2,2,1,1,5,3,4,2,5,1,4,1,1,5,2,4,5,1,4,1,11,12,6,7,4,8,18,8,14,-1,-1,-10,-6
83,290,2,NA,3,3,4,2,3,4,2,4,3,2,4,4,1,1,1,2,4,2,2,3,4,4,4,4,4,4,4,4,4,5,4,5,4,5,4,5,16,16,10,12,7,17,17,17,17,0,-2,0,0
84,142,1,21,4,4,3,4,3,3,5,3,4,4,4,4,3,2,3,3,2,2,1,2,4,2,4,2,3,4,4,4,5,3,5,3,3,5,3,4,16,12,9,7,5,18,11,17,12,4,2,7,5
85,742,2,21,3,4,3,3,2,4,5,5,2,3,5,3,3,3,3,3,2,1,1,2,4,3,5,4,5,4,4,4,4,5,4,4,5,4,4,3,14,11,8,6,4,16,18,16,16,3,2,-2,0
86,242,1,21,2,4,3,3,4,4,4,3,2,4,2,2,3,3,3,4,2,2,2,1,4,5,3,4,3,4,3,4,4,4,3,3,3,3,3,3,12,14,8,6,5,15,15,13,13,-2,2,0,0
87,1290,1,21,2,2,3,4,3,5,4,5,2,4,2,2,4,4,4,4,1,1,1,1,4,4,4,4,4,5,4,5,4,4,4,4,4,4,5,4,10,9,7,3,3,17,16,17,17,1,4,1,0
88,162,1,22,2,2,3,4,1,4,4,4,1,4,3,2,4,3,3,3,2,1,1,1,5,3,5,3,4,5,4,5,4,3,4,3,4,4,4,4,9,10,7,5,3,18,14,18,14,-1,2,4,4
89,120,1,20,3,4,4,3,4,5,5,5,4,5,3,1,4,4,4,4,1,1,1,1,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,13,12,6,3,3,19,19,19,20,1,3,0,-1
90,136,2,22,3,3,3,2,3,3,2,4,2,2,3,3,2,1,3,3,2,2,1,2,3,4,3,3,3,4,3,2,4,3,2,4,4,3,2,3,15,15,8,9,5,14,14,10,12,0,-1,0,-2
91,247,2,NA,3,1,3,3,2,5,4,4,2,3,3,2,3,3,3,3,2,1,1,1,4,3,4,3,3,4,3,4,3,3,3,3,3,3,3,3,11,10,7,6,3,14,12,14,12,1,1,2,2
92,126,2,20,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1,1,4,5,4,3,4,3,3,4,3,4,3,4,4,3,3,4,15,14,8,6,4,13,17,15,13,1,2,-4,2
93,1665,1,22,3,2,2,3,3,4,4,5,2,4,4,2,3,3,3,2,3,2,2,2,4,3,3,1,4,3,2,3,4,3,3,3,3,5,2,4,13,9,7,6,6,16,13,13,8,4,1,3,5
94,223,1,27,4,3,3,4,3,3,2,3,3,3,2,3,2,3,2,2,2,2,2,1,3,4,3,3,4,3,3,2,3,4,2,2,3,4,3,2,14,14,7,8,5,13,15,9,11,0,-1,-2,-2
95,1101,2,24,4,2,2,4,4,5,3,3,2,3,2,3,3,3,2,3,2,2,2,2,4,3,4,3,5,4,5,5,4,4,3,3,5,5,5,5,12,11,8,7,6,17,17,17,16,1,1,0,1
96,579,1,NA,2,2,4,3,3,2,4,4,2,2,1,3,3,3,3,2,2,2,2,2,5,3,5,3,4,3,5,3,5,3,4,3,4,3,4,3,14,12,7,6,6,16,14,15,15,2,1,2,0
97,207,2,NA,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,4,4,3,3,4,3,3,3,3,3,3,4,3,3,3,3,15,14,8,6,6,13,14,12,13,1,2,-1,-1
98,161,2,22,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,1,2,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,13,13,6,9,5,13,13,12,12,0,-3,0,0
99,516,1,NA,3,4,3,4,3,4,2,3,3,4,2,4,1,3,2,2,1,2,1,2,4,3,3,3,4,4,3,3,5,4,2,2,4,3,2,3,12,15,7,9,5,16,15,11,10,-3,-2,1,1
100,366,2,22,2,3,4,2,5,4,3,4,3,3,2,3,2,2,2,4,3,3,2,2,3,4,3,4,4,3,4,3,3,4,3,4,4,5,4,5,15,15,10,9,7,14,16,14,16,0,1,-2,-2
101,220,2,20,2,2,4,3,2,4,4,3,3,5,1,2,2,2,2,3,3,2,2,2,2,5,3,4,3,4,3,5,3,5,3,4,2,5,2,4,9,13,8,9,6,14,15,15,13,-4,-1,-1,2
102,312,2,21,3,3,4,4,2,5,2,4,1,4,2,2,3,3,4,3,2,2,3,2,3,4,3,4,4,5,4,5,5,2,4,2,4,5,3,4,8,14,7,5,7,18,14,16,13,-6,2,4,3
103,144,2,23,5,4,3,4,4,2,3,3,2,4,1,3,3,2,2,3,3,2,2,3,4,3,4,3,4,3,4,3,5,3,4,3,3,4,3,3,13,14,9,8,7,16,13,14,13,-1,1,3,1
104,182,2,21,3,2,3,3,2,3,4,3,2,4,3,2,3,3,4,4,2,1,1,1,5,3,4,3,4,5,4,4,3,3,3,3,5,5,4,4,12,12,8,5,3,18,15,15,14,0,3,3,1
105,194,2,26,5,4,4,3,3,4,2,3,3,3,4,3,2,3,2,3,2,2,2,2,2,4,3,4,2,4,3,4,4,2,4,3,4,4,4,3,15,17,8,8,6,14,12,14,14,-2,0,2,0
106,266,2,21,3,2,3,3,4,3,4,3,3,4,3,3,3,3,3,3,2,2,1,2,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,15,12,8,6,5,15,15,15,16,3,2,0,-1
107,261,2,21,3,2,3,4,3,4,4,4,3,3,4,2,3,3,3,3,2,2,1,1,4,5,5,4,4,5,4,5,4,4,4,4,4,5,4,5,15,10,7,6,4,18,17,19,16,5,1,1,3
108,280,2,22,3,4,3,3,5,3,3,3,2,3,2,3,3,3,2,3,2,1,1,1,5,3,5,4,4,5,4,5,5,3,5,3,4,5,3,5,15,15,8,7,3,20,14,20,14,0,1,6,6
109,429,1,23,4,2,2,3,3,4,4,5,1,3,1,1,3,3,4,4,2,1,1,1,2,5,2,4,5,2,5,2,1,5,1,5,4,5,4,5,10,9,7,5,3,10,19,10,18,1,2,-9,-8
110,599,1,21,3,2,2,4,2,5,4,4,2,4,2,1,4,4,3,4,1,1,1,1,5,4,5,4,5,4,5,4,4,3,4,3,5,3,5,3,9,9,6,4,3,16,17,16,17,0,2,-1,-1
111,317,2,22,3,2,2,4,1,4,5,5,2,3,2,3,3,3,3,3,2,2,2,2,3,4,5,4,4,4,4,4,4,4,3,3,3,4,4,5,10,7,8,6,6,15,15,17,15,3,2,0,2
112,303,2,20,2,3,2,2,3,4,4,5,2,3,3,2,3,3,3,3,2,2,2,2,5,5,4,4,5,5,4,4,5,5,4,4,5,5,4,4,13,11,7,6,6,20,20,16,16,2,1,0,0
113,164,1,25,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,2,2,1,5,3,5,4,5,4,5,4,5,4,5,4,4,5,4,5,16,13,10,6,5,19,16,19,17,3,4,3,2
114,197,1,NA,2,1,2,4,2,4,4,4,2,4,1,1,3,4,4,3,1,1,1,1,5,3,4,3,5,3,4,3,3,4,3,4,4,4,4,4,9,8,5,4,3,15,16,14,15,1,1,-1,-1
115,602,2,22,3,2,1,4,2,5,5,5,1,5,5,1,4,4,4,4,1,1,1,1,4,3,4,3,3,4,3,4,4,3,4,3,4,4,4,4,10,6,6,3,3,16,13,16,13,4,3,3,3
116,354,1,NA,3,1,1,5,1,5,5,5,1,4,1,1,4,4,4,4,1,1,1,1,4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,6,4,6,3,3,14,15,14,15,2,3,-1,-1
117,246,2,19,2,2,4,3,4,3,3,4,2,4,5,3,3,3,3,4,3,2,2,2,2,4,3,4,4,5,4,5,3,3,3,3,4,4,3,4,16,13,10,6,6,14,15,15,14,3,4,-1,1
118,436,1,NA,4,1,1,5,1,4,4,4,1,4,1,1,4,4,4,4,1,1,1,1,4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,7,6,6,3,3,14,15,14,15,1,3,-1,-1
119,357,2,23,4,5,2,3,2,4,4,2,2,1,1,3,1,1,2,3,2,2,3,3,3,2,2,2,4,3,2,2,4,2,2,2,4,4,3,4,12,15,8,11,8,14,12,10,9,-3,-3,2,1
120,422,1,NA,3,3,4,2,4,4,3,4,2,2,2,3,3,3,2,3,3,2,2,3,3,2,4,3,3,4,3,4,4,2,4,2,4,3,4,3,14,15,9,7,7,14,11,15,12,-1,2,3,3
121,554,1,NA,2,1,1,4,1,5,5,5,1,4,1,1,4,4,4,4,1,1,1,1,4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,6,5,6,3,3,14,15,14,15,1,3,-1,-1
122,681,1,NA,3,1,1,5,1,5,5,5,1,4,1,1,4,4,4,4,1,1,1,1,4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,6,4,6,3,3,14,15,14,15,2,3,-1,-1
123,839,1,NA,1,1,1,5,1,5,5,5,1,5,1,1,4,4,4,4,1,1,1,1,4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,5,4,6,3,3,14,15,14,15,1,3,-1,-1
124,1000,1,NA,3,1,1,4,1,5,5,5,1,4,1,1,4,4,4,4,1,1,1,1,4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,6,5,6,3,3,14,15,14,15,1,3,-1,-1
125,1126,1,NA,3,1,1,5,1,5,5,5,1,4,1,1,4,4,4,4,1,1,1,1,4,3,4,3,4,3,4,3,3,4,3,4,4,4,4,4,6,4,6,3,3,14,15,14,15,2,3,-1,-1
126,4325,1,21,2,3,3,4,3,3,3,4,4,3,4,3,3,3,3,2,3,2,2,3,4,4,3,4,4,4,3,3,5,4,4,3,4,5,3,4,17,12,8,6,7,18,16,14,13,5,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52459016,11.12295082,7.418032787,5.885245902,4.836065574,15.44262295,14.68032787,14.45081967,13.74590164,1.401639344,1.532786885,0.762295082,0.704918033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.196622998,3.179422134,1.44222145,2.017267284,1.633131433,3.007014335,2.635631226,2.993387917,2.601847644,2.471857588,2.053758603,2.877824243,2.570296071
