NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
44,445,1,21,2,2,2,4,3,4,5,4,2,4,2,3,4,4,4,4,1,1,1,1,5,4,5,4,4,5,4,5,5,4,5,4,4,5,4,5,11,8,8,3,3,20,16,20,16,3,5,4,4
45,139,2,34,5,3,3,2,3,3,3,4,3,3,2,3,2,3,3,2,2,2,2,2,3,4,3,3,4,3,3,3,3,3,3,3,3,4,3,3,14,14,7,7,6,13,14,12,12,0,0,-1,0
46,155,2,22,3,3,4,3,4,3,4,3,4,4,3,4,3,3,3,4,3,2,3,2,4,5,4,4,4,5,4,3,4,5,3,4,4,5,4,5,16,14,11,6,7,18,18,15,16,2,5,0,-1
47,330,1,30,5,4,3,4,3,4,3,4,3,4,3,3,2,2,2,2,3,3,2,2,4,4,4,4,5,4,4,4,4,3,4,3,4,3,3,3,13,13,8,9,7,15,16,15,14,0,-1,-1,1
48,164,2,22,4,3,3,2,4,3,4,4,3,4,4,3,2,3,3,4,3,3,2,1,4,3,4,3,4,3,4,3,4,5,3,4,3,4,3,4,16,13,10,7,6,15,15,14,14,3,3,0,0
49,222,1,22,3,3,2,3,3,2,3,3,2,3,2,3,3,3,3,2,3,2,2,2,3,1,3,3,2,2,2,2,2,2,2,2,3,2,2,2,14,13,8,6,6,9,8,9,9,1,2,1,0
50,147,1,21,3,2,4,4,4,5,4,3,2,3,2,3,3,3,2,4,3,2,2,3,5,4,4,4,5,3,4,3,4,3,3,3,3,4,3,4,12,12,10,7,7,16,15,14,14,0,3,1,0
51,497,2,26,5,2,3,4,3,3,4,3,3,4,4,2,3,2,3,3,2,2,2,1,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,15,11,7,7,5,15,12,12,12,4,0,3,0
52,142,2,23,4,3,2,2,3,4,4,4,2,3,3,2,3,3,3,3,2,1,1,1,4,3,4,3,3,4,3,4,4,3,3,3,3,4,3,4,13,12,7,6,3,16,12,15,12,1,1,4,3
53,775,1,21,2,2,2,4,2,5,4,4,2,3,2,2,4,3,3,4,2,1,1,1,3,4,4,5,5,4,5,4,3,4,3,4,5,4,5,4,10,9,8,5,3,14,18,15,19,1,3,-4,-4
54,331,1,35,5,2,2,4,3,5,5,4,2,4,2,2,4,3,4,4,1,1,1,1,5,2,4,3,3,5,3,4,5,2,4,2,4,5,3,4,10,8,7,4,3,20,11,16,11,2,3,9,5
55,186,1,24,4,1,1,3,1,4,4,4,2,4,3,3,3,3,3,3,2,1,2,2,4,4,3,4,4,3,3,3,4,3,3,3,4,3,3,3,10,8,8,6,5,14,15,12,13,2,2,-1,-1
56,184,2,23,5,2,3,3,3,4,3,3,3,3,1,2,3,3,3,2,2,2,2,1,4,3,3,2,4,5,4,4,4,2,4,2,4,3,4,3,12,13,6,6,5,16,13,14,12,-1,0,3,2
57,218,1,23,4,3,3,4,3,4,4,4,2,3,4,2,3,3,3,4,2,2,2,2,4,5,4,5,5,4,5,4,4,5,4,5,5,4,4,4,14,11,8,6,6,16,20,16,19,3,2,-4,-3
58,297,1,46,4,2,2,4,2,4,4,4,1,4,2,1,3,4,3,3,2,1,1,1,5,3,5,3,5,4,4,3,3,4,3,4,3,5,5,3,9,9,6,5,3,17,15,14,16,0,1,2,-2
59,186,2,23,4,1,1,2,1,5,5,5,1,3,1,1,4,4,4,3,1,1,1,1,4,5,3,5,5,4,5,3,5,3,5,2,4,5,4,5,7,7,5,3,3,18,17,16,16,0,2,1,0
60,1248,2,20,2,2,2,4,4,5,4,4,2,4,1,1,4,4,4,4,1,1,1,1,1,4,3,4,2,5,3,4,4,2,4,2,2,4,3,4,10,9,6,3,3,14,10,15,12,1,3,4,3
61,173,2,NA,5,3,2,2,3,5,3,5,2,5,3,2,4,1,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,12,6,7,6,12,12,12,12,-2,-1,0,0
62,203,1,22,3,3,3,4,3,2,2,5,3,4,1,1,4,1,3,2,3,1,2,2,3,5,3,4,5,4,4,4,5,4,3,4,5,4,3,4,13,12,6,7,5,16,19,14,15,1,-1,-3,-1
63,275,2,35,5,2,2,3,3,3,3,4,3,4,1,2,3,2,4,3,2,1,2,1,4,3,4,3,4,2,3,1,3,2,3,2,5,3,4,2,12,11,7,6,4,12,14,10,12,1,1,-2,-2
