NO,time,GENDER,AGE,GRADE,SL1,SL2,*SL3,EL4,*EL5,*SL6,*SL7,EL8,*EL9,EL10,EL11,*SL12,*SL13,*SL14,EL15,EL16,L17,L18,L19,PA1,PB1,BA1,BB1,PA2,PB2,BA2,BB2,PA3,PB3,BA3,BB3,PA4,PB4,BA4,BB4,ES.E,ES.S,DJ.E,DJ.S,UCLA,P.PN,P.CN,B.PN,B.CN,ES.E-ES.S,DJ.E-DJ.S,P.PN-P.CN,B.PN-B.CN
38,330,1,30,5,4,3,4,3,4,3,4,3,4,3,3,2,2,2,2,3,3,2,2,4,4,4,4,5,4,4,4,4,3,4,3,4,3,3,3,13,14,8,9,7,15,16,15,14,-1,-1,-1,1
39,164,2,22,4,3,3,2,4,3,4,4,3,4,4,3,2,3,3,4,3,3,2,1,4,3,4,3,4,3,4,3,4,5,3,4,3,4,3,4,16,14,10,7,6,15,15,14,14,2,3,0,0
40,222,1,22,3,3,2,3,3,2,3,3,2,3,2,3,3,3,3,2,3,2,2,2,3,1,3,3,2,2,2,2,2,2,2,2,3,2,2,2,14,14,8,6,6,9,8,9,9,0,2,1,0
41,147,1,21,3,2,4,4,4,5,4,3,2,3,2,3,3,3,2,4,3,2,2,3,5,4,4,4,5,3,4,3,4,3,3,3,3,4,3,4,12,13,10,7,7,16,15,14,14,-1,3,1,0
42,497,2,26,5,2,3,4,3,3,4,3,3,4,4,2,3,2,3,3,2,2,2,1,4,3,3,3,3,4,3,3,3,3,3,3,3,4,3,3,15,12,7,7,5,15,12,12,12,3,0,3,0
43,775,1,21,2,2,2,4,2,5,4,4,2,3,2,2,4,3,3,4,2,1,1,1,3,4,4,5,5,4,5,4,3,4,3,4,5,4,5,4,10,10,8,5,3,14,18,15,19,0,3,-4,-4
44,331,1,35,5,2,2,4,3,5,5,4,2,4,2,2,4,3,4,4,1,1,1,1,5,2,4,3,3,5,3,4,5,2,4,2,4,5,3,4,10,9,7,4,3,20,11,16,11,1,3,9,5
45,186,1,24,4,1,1,3,1,4,4,4,2,4,3,3,3,3,3,3,2,1,2,2,4,4,3,4,4,3,3,3,4,3,3,3,4,3,3,3,10,9,8,6,5,14,15,12,13,1,2,-1,-1
46,184,2,23,5,2,3,3,3,4,3,3,3,3,1,2,3,3,3,2,2,2,2,1,4,3,3,2,4,5,4,4,4,2,4,2,4,3,4,3,12,14,6,6,5,16,13,14,12,-2,0,3,2
47,218,1,23,4,3,3,4,3,4,4,4,2,3,4,2,3,3,3,4,2,2,2,2,4,5,4,5,5,4,5,4,4,5,4,5,5,4,4,4,14,12,8,6,6,16,20,16,19,2,2,-4,-3
48,297,1,46,4,2,2,4,2,4,4,4,1,4,2,1,3,4,3,3,2,1,1,1,5,3,5,3,5,4,4,3,3,4,3,4,3,5,5,3,9,10,6,5,3,17,15,14,16,-1,1,2,-2
49,186,2,23,4,1,1,2,1,5,5,5,1,3,1,1,4,4,4,3,1,1,1,1,4,5,3,5,5,4,5,3,5,3,5,2,4,5,4,5,7,8,5,3,3,18,17,16,16,-1,2,1,0
50,1248,2,20,2,2,2,4,4,5,4,4,2,4,1,1,4,4,4,4,1,1,1,1,1,4,3,4,2,5,3,4,4,2,4,2,2,4,3,4,10,10,6,3,3,14,10,15,12,0,3,4,3
51,173,2,NA,5,3,2,2,3,5,3,5,2,5,3,2,4,1,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,13,6,7,6,12,12,12,12,-3,-1,0,0
52,203,1,22,3,3,3,4,3,2,2,5,3,4,1,1,4,1,3,2,3,1,2,2,3,5,3,4,5,4,4,4,5,4,3,4,5,4,3,4,13,13,6,7,5,16,19,14,15,0,-1,-3,-1
53,275,2,35,5,2,2,3,3,3,3,4,3,4,1,2,3,2,4,3,2,1,2,1,4,3,4,3,4,2,3,1,3,2,3,2,5,3,4,2,12,12,7,6,4,12,14,10,12,0,1,-2,-2
54,356,1,23,4,2,2,4,2,4,5,4,2,4,2,2,4,4,4,3,2,1,1,1,5,4,5,3,3,5,4,5,5,4,5,3,4,5,4,5,10,9,7,3,3,20,15,20,14,1,4,5,6
55,260,1,NA,3,3,4,4,3,4,3,4,3,4,3,4,3,3,3,3,2,3,2,1,2,4,3,2,3,4,3,1,4,4,3,2,3,4,2,3,13,14,9,6,6,14,14,10,9,-1,3,0,1
56,281,1,NA,5,4,4,2,4,3,2,2,4,4,4,4,2,1,2,2,2,2,2,3,3,2,3,1,4,2,4,1,2,4,2,3,4,2,3,3,17,20,8,10,7,9,14,9,11,-3,-2,-5,-2
57,1519,2,23,2,3,3,4,3,5,3,4,4,2,3,3,2,3,3,3,2,2,1,2,4,5,4,5,4,5,4,4,5,5,5,5,4,5,4,5,15,13,8,7,5,19,18,18,18,2,1,1,0
58,178,2,22,3,2,3,4,2,4,4,5,2,4,2,1,3,3,3,4,2,1,1,1,5,3,4,3,5,2,5,1,4,2,4,3,5,2,5,3,10,10,7,6,3,13,15,12,16,0,1,-2,-4
59,296,2,28,4,4,3,3,4,4,3,3,3,3,3,2,2,2,3,2,2,2,2,2,4,3,4,3,3,4,3,4,4,3,4,3,4,3,4,3,15,16,6,8,6,15,13,15,13,-1,-2,2,2
60,304,1,54,5,3,4,2,3,4,4,5,3,3,2,3,4,3,4,3,2,1,2,1,5,2,4,3,5,3,4,3,5,2,5,2,5,4,4,3,13,14,8,4,4,17,14,15,13,-1,4,3,2
61,440,1,24,3,3,2,4,3,4,5,4,2,3,2,2,3,3,4,3,2,1,2,2,5,2,5,2,2,5,2,4,4,2,4,2,2,5,2,5,12,10,7,5,5,19,8,18,8,2,2,11,10
62,520,1,22,3,4,2,4,4,4,5,5,1,4,1,1,4,4,4,4,1,1,1,1,5,3,4,3,5,3,4,3,5,4,5,4,4,5,4,5,10,10,6,3,3,18,16,17,15,0,3,2,2
63,164,1,21,3,4,5,4,4,4,4,5,4,5,4,4,3,4,3,3,4,3,3,3,5,4,5,4,4,5,5,4,4,4,5,4,4,5,5,4,15,14,11,5,9,19,16,18,18,1,6,3,0
64,259,1,20,4,3,4,5,3,4,5,3,3,4,5,3,3,4,4,3,2,1,2,1,4,4,4,4,4,5,4,5,4,5,5,4,4,4,4,4,15,12,8,4,4,17,17,18,16,3,4,0,2
65,282,1,22,3,2,2,4,2,4,4,4,2,4,2,2,4,4,4,2,2,1,1,1,5,3,4,3,3,5,3,4,5,3,4,3,3,5,3,4,10,10,6,3,3,20,12,16,12,0,3,8,4
